Image,x0,y0,x1,y1
00017b95-54df-00fa-c87b-5beef5069cb3.jpg,0,0,1000,157
0002143d-7ee6-4752-3785-308e974a7c86.jpg,0,0,1000,393
00025acf-a289-d9bd-611e-848c04c5a621.jpg,0,0,1000,236
0011a533-36a3-9e80-ad39-3b8a90e7251a.jpg,0,0,1000,343
0012d11e-6d94-d69a-0383-094ab2176459.jpg,0,0,1000,315
001a3027-274b-6ae8-5654-7b6425973e83.jpg,0,0,1000,173
001db41f-4889-a29a-8ae0-632ee72687e1.jpg,0,0,1000,423
0040fd0a-3af6-b5c7-07f1-b425e8be3c2c.jpg,0,0,1000,314
0051c9de-c03d-c18f-ed35-bfb2101cd1a2.jpg,0,0,1000,305
0065bb51-3238-1618-0fa4-248f5646ad52.jpg,0,0,1000,181
0066a0ce-b61d-13c0-5f3f-70d38b29dce4.jpg,0,0,1000,228
00672e5a-2867-7a6a-5128-27f0741af902.jpg,0,0,1000,295
006b2baf-c733-bbbd-c912-84d1dbffe97c.jpg,0,0,1000,254
0070221a-14af-37eb-a3f6-7b2085518184.jpg,0,0,1000,370
0073a82e-6aec-6874-59f1-e0110430539a.jpg,0,0,1000,166
00837efe-6735-bdff-51e5-ccd1f36f04d4.jpg,0,0,1000,289
00899207-87a9-4db9-f652-5dae809c36f1.jpg,0,0,1000,205
008b2aff-f248-5ca0-61f4-8015b6014e05.jpg,0,0,1000,186
008fb5c3-f77f-732a-9411-f9e23a0c560a.jpg,0,0,1000,322
00943768-d81d-0b57-c89a-aeeae4dfa63d.jpg,0,0,1000,418
009fc6f6-fe78-e41d-cebb-90f073d1e21e.jpg,0,0,1000,284
00a6de68-9723-cac0-8d44-a178466c9981.jpg,0,0,1000,232
00ac498a-b410-2864-4b24-6d7e26d528d3.jpg,0,0,1000,311
00b1de81-a99c-b8d3-7d05-dc6795b6351e.jpg,0,0,1000,396
00b28af8-046b-ad1d-f52a-6e12038c9d6c.jpg,0,0,1000,259
00b7797f-5b79-fb2a-d3b4-bf576621a0cf.jpg,0,0,1000,352
00bb8891-e8be-b0e1-1961-dd0b77f9dbf4.jpg,0,0,1000,180
00be0618-2b6d-544f-87f1-08085e0fc49e.jpg,0,0,1000,185
00c44e29-d5f0-cb9e-6fd6-e73e1d97bde3.jpg,0,0,1000,384
00e056a9-e3a8-46dd-15e8-a7193062fe83.jpg,0,0,1000,319
01071a51-7451-65ea-3e96-853a4a27653a.jpg,0,0,1000,251
010d4de3-83da-e545-b375-fe42ce44ece4.jpg,0,0,1000,417
010ef290-2795-2315-c2fe-38d7a0f7071e.jpg,0,0,1000,140
